;Concurso;bola_id;bola_num_sort
793;53;Bola8;12.0
794;53;Bola9;14.0
795;54;Bola1;2.0
796;54;Bola10;16.0
797;54;Bola11;18.0
798;54;Bola12;20.0
799;54;Bola13;21.0
800;54;Bola14;22.0
801;54;Bola15;24.0
802;54;Bola2;4.0
803;54;Bola3;5.0
804;54;Bola4;6.0
805;54;Bola5;7.0
806;54;Bola6;8.0
807;54;Bola7;9.0
808;54;Bola8;12.0
809;54;Bola9;14.0
810;55;Bola1;2.0
811;55;Bola10;13.0
812;55;Bola11;15.0
813;55;Bola12;16.0
814;55;Bola13;18.0
815;55;Bola14;19.0
816;55;Bola15;25.0
817;55;Bola2;3.0
818;55;Bola3;4.0
819;55;Bola4;5.0
820;55;Bola5;6.0
821;55;Bola6;7.0
822;55;Bola7;8.0
823;55;Bola8;9.0
824;55;Bola9;12.0
825;56;Bola1;1.0
826;56;Bola10;17.0
827;56;Bola11;19.0
828;56;Bola12;20.0
829;56;Bola13;22.0
830;56;Bola14;23.0
831;56;Bola15;24.0
832;56;Bola2;2.0
833;56;Bola3;5.0
834;56;Bola4;9.0
835;56;Bola5;12.0
836;56;Bola6;13.0
837;56;Bola7;14.0
838;56;Bola8;15.0
839;56;Bola9;16.0
840;57;Bola1;1.0
841;57;Bola10;17.0
842;57;Bola11;19.0
843;57;Bola12;20.0
844;57;Bola13;21.0
845;57;Bola14;22.0
846;57;Bola15;25.0
847;57;Bola2;2.0
848;57;Bola3;3.0
849;57;Bola4;4.0
850;57;Bola5;6.0
851;57;Bola6;7.0
852;57;Bola7;8.0
853;57;Bola8;11.0
854;57;Bola9;12.0
855;58;Bola1;3.0
856;58;Bola10;16.0
857;58;Bola11;17.0
858;58;Bola12;18.0
859;58;Bola13;19.0
860;58;Bola14;20.0
861;58;Bola15;22.0
862;58;Bola2;4.0
863;58;Bola3;5.0
864;58;Bola4;6.0
865;58;Bola5;11.0
866;58;Bola6;12.0
867;58;Bola7;13.0
868;58;Bola8;14.0
869;58;Bola9;15.0
870;59;Bola1;1.0
871;59;Bola10;14.0
872;59;Bola11;15.0
873;59;Bola12;19.0
874;59;Bola13;20.0
875;59;Bola14;23.0
876;59;Bola15;25.0
877;59;Bola2;3.0
878;59;Bola3;5.0
879;59;Bola4;6.0
880;59;Bola5;7.0
881;59;Bola6;8.0
882;59;Bola7;10.0
883;59;Bola8;11.0
884;59;Bola9;13.0
885;60;Bola1;1.0
886;60;Bola10;18.0
887;60;Bola11;19.0
888;60;Bola12;22.0
889;60;Bola13;23.0
890;60;Bola14;24.0
891;60;Bola15;25.0
892;60;Bola2;2.0
893;60;Bola3;3.0
894;60;Bola4;4.0
895;60;Bola5;5.0
896;60;Bola6;8.0
897;60;Bola7;11.0
898;60;Bola8;16.0
899;60;Bola9;17.0
900;61;Bola1;1.0
901;61;Bola10;16.0
902;61;Bola11;19.0
903;61;Bola12;20.0
904;61;Bola13;22.0
905;61;Bola14;23.0
906;61;Bola15;25.0
907;61;Bola2;4.0
908;61;Bola3;5.0
909;61;Bola4;9.0
910;61;Bola5;11.0
911;61;Bola6;12.0
912;61;Bola7;13.0
913;61;Bola8;14.0
914;61;Bola9;15.0
915;62;Bola1;1.0
916;62;Bola10;16.0
917;62;Bola11;17.0
918;62;Bola12;18.0
919;62;Bola13;20.0
920;62;Bola14;24.0
921;62;Bola15;25.0
922;62;Bola2;3.0
923;62;Bola3;7.0
924;62;Bola4;8.0
925;62;Bola5;9.0
926;62;Bola6;11.0
927;62;Bola7;13.0
928;62;Bola8;14.0
929;62;Bola9;15.0
930;63;Bola1;4.0
931;63;Bola10;19.0
932;63;Bola11;20.0
933;63;Bola12;21.0
934;63;Bola13;22.0
935;63;Bola14;24.0
936;63;Bola15;25.0
937;63;Bola2;8.0
938;63;Bola3;9.0
939;63;Bola4;10.0
940;63;Bola5;11.0
941;63;Bola6;12.0
942;63;Bola7;13.0
943;63;Bola8;16.0
944;63;Bola9;17.0
945;64;Bola1;1.0
946;64;Bola10;14.0
947;64;Bola11;17.0
948;64;Bola12;18.0
949;64;Bola13;20.0
950;64;Bola14;23.0
951;64;Bola15;25.0
952;64;Bola2;2.0
953;64;Bola3;3.0
954;64;Bola4;6.0
955;64;Bola5;7.0
956;64;Bola6;8.0
957;64;Bola7;9.0
958;64;Bola8;10.0
959;64;Bola9;13.0
960;65;Bola1;1.0
961;65;Bola10;19.0
962;65;Bola11;20.0
963;65;Bola12;21.0
964;65;Bola13;22.0
965;65;Bola14;23.0
966;65;Bola15;25.0
967;65;Bola2;2.0
968;65;Bola3;4.0
969;65;Bola4;7.0
970;65;Bola5;10.0
971;65;Bola6;15.0
972;65;Bola7;16.0
973;65;Bola8;17.0
974;65;Bola9;18.0
975;66;Bola1;1.0
976;66;Bola10;17.0
977;66;Bola11;20.0
978;66;Bola12;21.0
979;66;Bola13;22.0
980;66;Bola14;23.0
981;66;Bola15;24.0
982;66;Bola2;2.0
983;66;Bola3;4.0
984;66;Bola4;8.0
985;66;Bola5;10.0
986;66;Bola6;11.0
987;66;Bola7;14.0
988;66;Bola8;15.0
989;66;Bola9;16.0
990;67;Bola1;5.0
991;67;Bola10;16.0
992;67;Bola11;20.0
993;67;Bola12;21.0
994;67;Bola13;22.0
995;67;Bola14;23.0
996;67;Bola15;24.0
997;67;Bola2;7.0
998;67;Bola3;8.0
999;67;Bola4;9.0
1000;67;Bola5;10.0
1001;67;Bola6;11.0
1002;67;Bola7;12.0
1003;67;Bola8;13.0
1004;67;Bola9;15.0
1005;68;Bola1;1.0
1006;68;Bola10;12.0
1007;68;Bola11;16.0
1008;68;Bola12;17.0
1009;68;Bola13;22.0
1010;68;Bola14;23.0
1011;68;Bola15;25.0
1012;68;Bola2;2.0
1013;68;Bola3;3.0
1014;68;Bola4;5.0
1015;68;Bola5;6.0
1016;68;Bola6;7.0
1017;68;Bola7;8.0
1018;68;Bola8;9.0
1019;68;Bola9;10.0
1020;69;Bola1;1.0
1021;69;Bola10;18.0
1022;69;Bola11;19.0
1023;69;Bola12;20.0
1024;69;Bola13;21.0
1025;69;Bola14;23.0
1026;69;Bola15;24.0
1027;69;Bola2;4.0
1028;69;Bola3;7.0
1029;69;Bola4;8.0
1030;69;Bola5;9.0
1031;69;Bola6;10.0
1032;69;Bola7;11.0
1033;69;Bola8;15.0
1034;69;Bola9;17.0
1035;70;Bola1;1.0
1036;70;Bola10;15.0
1037;70;Bola11;16.0
1038;70;Bola12;19.0
1039;70;Bola13;20.0
1040;70;Bola14;24.0
1041;70;Bola15;25.0
1042;70;Bola2;2.0
1043;70;Bola3;3.0
1044;70;Bola4;5.0
1045;70;Bola5;6.0
1046;70;Bola6;9.0
1047;70;Bola7;10.0
1048;70;Bola8;12.0
1049;70;Bola9;14.0
1050;71;Bola1;1.0
1051;71;Bola10;15.0
1052;71;Bola11;16.0
1053;71;Bola12;18.0
1054;71;Bola13;21.0
